UNIVERSIDADE,SEXO,GRUPO INSCRIÇÃO,VAGA CLASSIFICAÇÃO,PONTUAÇÃO,ENTRADA,COLOCAÇÕES,CURSO,MODALIDADE,TURNO,CIDADE
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,560.93,2,14,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,600.53,2,8,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,I,494.85,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,626.38,2,7,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,654.92,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,635.91,2,4,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,571.54,2,11,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,522.28,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,559.17,2,15,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,542.45,2,18,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,J,499.05,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,638.98,2,3,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,540.47,2,19,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,C,528.40,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,594.79,2,9,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,580.01,2,10,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,I,523.56,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,563.55,2,13,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,631.07,2,6,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,I,518.87,2,3,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,565.75,2,12,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,752.62,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,539.84,2,20,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,G,504.64,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,551.23,2,17,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,632.83,2,5,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,526.09,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,555.72,2,16,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,682.77,1,14,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,H,649.31,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,1,A,745.56,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,603.55,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,726.62,1,4,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,634.24,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,688.58,1,12,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,640.27,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,684.35,1,13,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,G,658.20,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,671.62,1,18,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,624.49,1,3,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,J,581.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,I,624.91,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,670.32,1,19,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,C,669.39,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,587.47,1,7,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,738.80,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,690.43,1,10,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,D,667.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,8,A,669.42,1,20,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,708.11,1,7,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,674.96,1,17,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,667.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,688.93,1,11,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,710.51,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,677.69,1,16,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,E,655.84,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,10,B,548.77,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,634.66,1,7,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,F,632.24,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,704.70,1,8,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,638.81,1,6,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,708.88,1,6,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,1,A,690.60,1,9,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,644.20,1,4,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,650.87,1,3,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,I,608.19,1,4,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,1,A,732.62,1,3,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,601.37,1,6,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,681.58,1,15,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,I,595.06,1,2,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,C,621.92,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,713.33,1,5,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,679.36,1,9,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,675.55,1,11,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,639.56,1,18,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,545.42,1,7,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,670.43,1,13,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,607.86,1,3,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,668.14,1,14,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,676.46,1,10,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,640.18,1,17,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,I,562.03,1,7,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,631.71,1,20,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,681.74,1,8,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,610.39,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,589.75,1,5,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,673.62,1,12,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,682.70,1,7,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,814.35,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,I,598.49,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,639.21,1,19,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,I,570.11,1,4,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,591.80,1,4,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,A,743.73,1,3,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,608.01,1,2,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,661.25,1,16,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,G,607.64,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,I,604.56,1,5,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,691.00,1,6,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,I,584.47,1,6,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,553.89,1,6,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,I,587.99,1,3,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,726.53,1,4,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,745.98,1,2,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,H,516.14,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,666.12,1,15,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,J,606.94,1,1,FISICA,LICENCIATURA,MATUTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,I,535.22,2,4,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,I,540.10,2,2,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,608.63,2,9,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,514.56,2,4,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,628.06,2,2,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,H,521.25,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,A,616.51,2,6,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,I,537.61,2,3,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,569.71,2,2,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,575.24,2,12,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,659.30,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,J,561.29,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,597.21,2,10,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,509.74,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,I,551.89,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,1,A,615.44,2,7,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,D,514.14,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,F,572.59,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,617.06,2,5,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,573.21,2,13,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,619.83,2,3,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,617.67,2,4,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,561.48,2,3,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,609.49,2,8,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,589.14,2,11,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,569.73,2,1,LETRAS  ESPANHOL,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,574.77,2,16,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,613.25,2,11,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,539.64,2,20,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,649.64,2,6,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,632.28,2,9,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,592.77,2,14,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,545.56,2,19,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,597.74,2,12,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,677.78,2,3,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,710.47,2,1,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,570.24,2,17,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,656.55,2,5,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,588.87,2,15,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,5,A,646.76,2,7,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,569.34,2,18,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,664.33,2,4,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,698.92,2,2,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,622.09,2,10,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,595.96,2,13,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,644.14,2,8,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,F,7,C,487.12,2,1,LETRAS PORTUGUES,LICENCIATURA,INTEGRAL,ABAETETUBA TOME-ACU
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,718.67,2,6,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,682.86,2,12,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,697.77,2,9,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,623.33,2,4,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,663.37,2,20,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,678.88,2,13,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,F,531.81,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,G,654.43,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,666.78,2,18,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,683.12,2,11,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,720.35,2,5,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,J,639.39,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,H,600.47,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,687.19,2,10,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,676.98,2,14,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,760.45,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,C,661.87,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,I,490.14,2,5,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,E,586.52,2,6,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,665.81,2,19,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,756.23,2,2,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,544.13,2,3,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,676.94,2,15,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,634.59,2,2,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,E,660.79,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,703.52,2,8,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,E,594.88,2,5,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,D,649.20,2,1,MATEMATICA,LICENCIATURA,VESPERTINO,ABAETETUBA
